ROME_Code,Nom,Adresse,Potentiel_d_embauche,Postal_Code
M1801,AVEM,"Service des ressources humaines, 14 RUE LOUIS BLERIOT, 35170 BRUZ",4.5,35170
M1801,TELIMA INFOSERVICES,"Service des ressources humaines, 12 RUE ROBERT MOINON, 95190 GOUSSAINVILLE",4.3,95190
M1801,ECONOCOM INFOGERANCE SYSTEMES,"21 AVENUE DESCARTES, 92350 LE-PLESSIS-ROBINSON",4.5,92350
M1801,INSIEMA,"Service des ressources humaines, 12 RUE DU FORT DE SAINT CYR, 78180 MONTIGNY-LE-BRETONNEUX",4.2,78180
M1801,ONG CONSEIL,"12 RUE GERMAIN, 69006 LYON-06",4.0,69006
M1801,CAPGEMINI TECHNOLOGY SERVICES,"Service des ressources humaines, 109 AVENUE DU GENERAL EISENHOWER, 31100 TOULOUSE",4.5,31100
M1801,OBJECTWARE,"191 RUE SAINT HONORE, 75001 PARIS-01",4.1,75001
M1801,TESSI 2 M,"Service des ressources humaines, 5 RUE DE COIVREL, 60420 MAIGNELAY-MONTIGNY",3.9,60420
M1801,ASTEK,"Service des ressources humaines,  RUE DE LA TERRE VICTORIA, 35760 SAINT-GREGOIRE",3.8,35760
M1801,RENNES ATALANTE LES LANTHANIDES,"2 RUE CLAUDE CHAPPE, 35510 CESSON-SEVIGNE",3.8,35510
M1801,SYNCHRONE,"Service des ressources humaines, 405 AVENUE GALILEE, 13290 AIX-EN-PROVENCE",4.5,13290
M1801,TALAN SOLUTIONS,"Service des ressources humaines, 18 RUE LA PEROUSE, 75116 PARIS-16",4.1,75116
H1402,ALTEN SUD OUEST," RUE ALAIN FOURNIER, 31300 TOULOUSE",3.8,31300
H1402,SEGULA GLOBAL SERVICES,"32 CHEMIN DE LA TUILIERE, 13127 VITROLLES",3.8,13127
H1402,CAPGEMINI TECHNOLOGY SERVICES,"145 QUAI DU PRESIDENT ROOSEVELT, 92130 ISSY-LES-MOULINEAUX",3.5,92130
H1402,CAPRISK DEVELOPMENT,"Service des ressources humaines,  AV J R G GAUTIER DE LA LAUZIERE, 13290 AIX-EN-PROVENCE",3.8,13290
H1402,CAPGEMINI DEMS FRANCE,"350 AV J R G GAUTIER DE LA LAUZIERE, 13290 AIX-EN-PROVENCE",3.0,13290
H1402,AFD TECHNOLOGIES,"Service des ressources humaines, 50 AVENUE DES CHAMPS ELYSEES, 75008 PARIS-08",3.0,75008
H1402,ALTRAN TECHNOLOGIES,"1035 RUE EMILIEN GAUTIER, 13290 AIX-EN-PROVENCE",3.0,13290
H1402,ONG CONSEIL,"12 RUE GERMAIN, 69006 LYON-06",2.8,69006
H1402,MODIS FRANCE,"90 ESPLANADE GENERAL DE GAULLE, 92400 COURBEVOIE",3.0,92400
H1402,METALINE DATA CENTER SERVICES,"183 AVENUE GEORGES CLEMENCEAU, 92000 NANTERRE",3.0,92000
H1402,UMLAUT,"Service des ressources humaines, 3 BOULEVARD HENRI ZIEGLER, 31700 BLAGNAC",2.7,31700
H1402,VULCAIN SERVICES,"Service des ressources humaines, 5 RUE BEFFROY, 92200 NEUILLY-SUR-SEINE",3.0,92200
H1402,ETIC EVENEMENT,"Service des ressources humaines, 21 RUE ELIE PELAS, 13016 MARSEILLE-16",2.8,13016
H1402,DEVOTEAM,"Service des ressources humaines, 73 RUE ANATOLE FRANCE, 92300 LEVALLOIS-PERRET",3.0,92300
H1402,AERO XV - YMCA SERVICES,"Service des ressources humaines,  CHEMIN RIVIERE DE REGOURD, 46000 CAHORS",2.7,46000
H1402,CAPGEMINI TECHNOLOGY SERVICES,"7 AVENUE MARIE LOUISE DELWAULLE, 59160 LILLE",2.5,59160
H1402,APTISKILLS SUD-OUEST,"11 RUE DES GAMINS, 33800 BORDEAUX",2.5,33800
H1402,MEOTEC,"Service des ressources humaines, 27 QUAI ALPHONSE LE GALLO, 92100 BOULOGNE-BILLANCOURT",2.7,92100
H1402,ALTEN DDPS,"65 AVENUE EDOUARD VAILLANT, 92100 BOULOGNE-BILLANCOURT",3.5,92100
H1402,SOPRA STERIA GROUP,"Service des ressources humaines, 5 PLACE DE L IRIS, 92400 COURBEVOIE",2.5,92400
E1402,IMPACT SALES MARKETING," RUE VICTOR HUGO, 92300 LEVALLOIS-PERRET",3.5,92300
E1402,SERVICE INNOVATION GROUP FRANCE,"Service des ressources humaines, 32 AVENUE DE L EUROPE, 78140 VELIZY-VILLACOUBLAY",3.1,78140
E1402,MASTERSERVICE,"4B RUE SULLY, 51310 ESTERNAY",3.1,51310
E1402,ONG CONSEIL,"12 RUE GERMAIN, 69006 LYON-06",2.8,69006
E1402,ETIC EVENEMENT,"Service des ressources humaines, 21 RUE ELIE PELAS, 13016 MARSEILLE-16",2.8,13016
E1402,PUBLICITE REGIES EDITION & COMMUNICATI,"10 RUE DU BREIL, 35000 RENNES",2.7,35000
E1402,CPM FRANCE,"143 AVENUE DE VERDUN, 92130 ISSY-LES-MOULINEAUX",3.1,92130
E1402,DMF SALES & MARKETING,"Service des ressources humaines, 4 AVENUE LAURENT CELY, 92600 ASNIERES-SUR-SEINE",2.7,92600
E1402,FRANCE TELEVISIONS PUBLICITE,"Service des ressources humaines, 64 AV J B CLEMENT, 92100 BOULOGNE-BILLANCOURT",2.5,92100
E1402,ADREXO,"Service des ressources humaines, 31 AVENUE DE LARRIEU, 31100 TOULOUSE",2.7,31100
E1402,MEDIABRANDS,"28 BOULEVARD DU PARC, 92200 NEUILLY-SUR-SEINE",2.5,92200
E1402,ADREXO,"Service des ressources humaines, 92 RUE DE LA CROIX WARESQUEL, 59273 FRETIN",2.5,59273
E1402,AKSIS PROFIL EMPLOI PROFILEMPLOI,"18 RUE CHARLES PICARD, 02100 SAINT-QUENTIN",2.5,02100
E1402,FYM ACTION,"Service des ressources humaines,  RUE JOSEPH BIGOT, 56850 CAUDAN",2.5,56850
E1402,PROSPECTUS MAILING ADRESSE BAL GEOMARK,"Service des ressources humaines, 2 RUE PAQUETTE, 62231 COQUELLES",2.5,62231
E1402,MEDIAGARES,"Service des ressources humaines, 35 RUE PLEYEL, 93200 SAINT-DENIS",2.5,93200
E1402,PROSPECTUS MAILING ADRESSE BAL GEOMARK,"Service des ressources humaines, 1 CHEMIN CLASTROIS, 02430 GAUCHY",3.3,02430
E1402,AZUR PROMOTION,"120 AVENUE DU MARIN BLANC, 13400 AUBAGNE",4.4,13400
E1402,PROSPECTUS MAILING ADRESSE BAL GEOMARK,"Service des ressources humaines,  AVENUE PIERRE ET MARIE CURIE, 83160 LA-VALETTE-DU-VAR",2.5,83160
E1402,MEDIALEX,"10 RUE DU BREIL, 35000 RENNES",2.5,35000
H1401,ONG CONSEIL,"12 RUE GERMAIN, 69006 LYON-06",3.3,69006
H1401,DAHER AEROSPACE,"Service des ressources humaines,  RUE DES PYRENEES, 65290 LOUEY",3.6,65290
H1401,ALTEN SUD OUEST," RUE ALAIN FOURNIER, 31300 TOULOUSE",3.1,31300
H1401,ETIC EVENEMENT,"Service des ressources humaines, 21 RUE ELIE PELAS, 13016 MARSEILLE-16",3.3,13016
H1401,SEGULA GLOBAL SERVICES,"32 CHEMIN DE LA TUILIERE, 13127 VITROLLES",3.1,13127
H1401,CAPRISK DEVELOPMENT,"Service des ressources humaines,  AV J R G GAUTIER DE LA LAUZIERE, 13290 AIX-EN-PROVENCE",3.1,13290
H1401,AKSIS PROFIL EMPLOI PROFILEMPLOI,"18 RUE CHARLES PICARD, 02100 SAINT-QUENTIN",2.8,02100
H1401,LAGRANGE,"Service des ressources humaines, 27 RUE BOSSUET, 69006 LYON-06",3.3,69006
H1401,CAPGEMINI DEMS FRANCE,"350 AV J R G GAUTIER DE LA LAUZIERE, 13290 AIX-EN-PROVENCE",2.5,13290
H1401,RATIER-FIGEAC,"Service des ressources humaines,  AVENUE DE RATIER, 46100 FIGEAC",2.5,46100
H1401,AFD TECHNOLOGIES,"Service des ressources humaines, 50 AVENUE DES CHAMPS ELYSEES, 75008 PARIS-08",2.5,75008
H1401,SAFRAN HELICOPTER ENGINES,"Service des ressources humaines,  AVENUE JOSEPH SZYDLOWSKI, 64510 BORDES",2.8,64510
H1401,ALTRAN TECHNOLOGIES,"1035 RUE EMILIEN GAUTIER, 13290 AIX-EN-PROVENCE",2.5,13290
H1401,MODIS FRANCE,"90 ESPLANADE GENERAL DE GAULLE, 92400 COURBEVOIE",2.5,92400
H1401,METALINE DATA CENTER SERVICES,"183 AVENUE GEORGES CLEMENCEAU, 92000 NANTERRE",2.5,92000
H1401,UMLAUT,"Service des ressources humaines, 3 BOULEVARD HENRI ZIEGLER, 31700 BLAGNAC",2.5,31700
H1401,PACK SOLUTIONS,"Service des ressources humaines, 600 AVENUE DE GRAND ANGLES, 30133 LES-ANGLES",2.5,30133
H1401,VULCAIN SERVICES,"Service des ressources humaines, 5 RUE BEFFROY, 92200 NEUILLY-SUR-SEINE",2.5,92200
H1401,MECANIQUE AERONAUTIQUE PYRENEENNE,"Service des ressources humaines,  RUE DE LA VALLEE D OSSAU, 64121 SERRES-CASTET",2.5,64121
H1401,DEVOTEAM,"Service des ressources humaines, 73 RUE ANATOLE FRANCE, 92300 LEVALLOIS-PERRET",2.5,92300
M1805,MANPOWER (EUROPE),"118 BOULEVARD DE L EUROPE, 76100 ROUEN",2.5,76100
